country_region_code,country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,Delhi,2021-07-20,-31.0,-2.0,-40.0,-20.0,-33.0,9.0
IN,India,Delhi,2021-07-21,-29.0,6.0,-35.0,-30.0,-48.0,13.0
IN,India,Delhi,2021-07-22,-26.0,6.0,-33.0,-23.0,-33.0,9.0
IN,India,Delhi,2021-07-23,-27.0,8.0,-34.0,-23.0,-30.0,9.0
IN,India,Delhi,2021-07-24,-29.0,1.0,-39.0,-21.0,-24.0,7.0
IN,India,Delhi,2021-07-25,-29.0,0.0,-41.0,-18.0,-16.0,5.0
IN,India,Delhi,2021-07-26,-29.0,3.0,-32.0,-24.0,-30.0,9.0
IN,India,Delhi,2021-07-27,-33.0,-8.0,-45.0,-26.0,-33.0,11.0
IN,India,Delhi,2021-07-28,-37.0,-10.0,-49.0,-31.0,-32.0,12.0
IN,India,Delhi,2021-07-29,-28.0,2.0,-39.0,-23.0,-28.0,10.0
IN,India,Delhi,2021-07-30,-28.0,5.0,-40.0,-23.0,-27.0,10.0
IN,India,Delhi,2021-07-31,-24.0,8.0,-39.0,-16.0,-17.0,7.0
IN,India,Delhi,2021-08-01,-25.0,3.0,-46.0,-14.0,-18.0,7.0
IN,India,Delhi,2021-08-02,-27.0,5.0,-36.0,-20.0,-29.0,9.0
IN,India,Delhi,2021-08-03,-22.0,11.0,-32.0,-18.0,-29.0,9.0
IN,India,Delhi,2021-08-04,-24.0,10.0,-33.0,-19.0,-28.0,9.0
IN,India,Delhi,2021-08-05,-23.0,9.0,-34.0,-20.0,-27.0,9.0
IN,India,Delhi,2021-08-06,-25.0,10.0,-36.0,-20.0,-26.0,9.0
IN,India,Delhi,2021-08-07,-25.0,6.0,-38.0,-13.0,-17.0,7.0
IN,India,Delhi,2021-08-08,-29.0,-1.0,-46.0,-13.0,-15.0,6.0
IN,India,Delhi,2021-08-09,-22.0,12.0,-31.0,-18.0,-27.0,9.0
IN,India,Delhi,2021-08-10,-20.0,14.0,-29.0,-16.0,-27.0,8.0
IN,India,Delhi,2021-08-11,-22.0,13.0,-30.0,-17.0,-27.0,8.0
IN,India,Delhi,2021-08-12,-21.0,11.0,-32.0,-19.0,-26.0,9.0
IN,India,Delhi,2021-08-13,-22.0,15.0,-32.0,-17.0,-25.0,9.0
IN,India,Delhi,2021-08-14,-21.0,12.0,-36.0,-16.0,-22.0,7.0
IN,India,Delhi,2021-08-15,-41.0,-17.0,-42.0,-30.0,-46.0,10.0
IN,India,Delhi,2021-08-16,-24.0,11.0,-31.0,-18.0,-27.0,8.0
IN,India,Delhi,2021-08-17,-21.0,13.0,-28.0,-16.0,-26.0,8.0
IN,India,Delhi,2021-08-18,-22.0,13.0,-31.0,-17.0,-23.0,8.0
IN,India,Delhi,2021-08-19,-19.0,14.0,-30.0,-18.0,-24.0,8.0
IN,India,Delhi,2021-08-20,-21.0,16.0,-33.0,-22.0,-35.0,11.0
IN,India,Delhi,2021-08-21,-22.0,11.0,-44.0,-10.0,-22.0,7.0
IN,India,Delhi,2021-08-22,-27.0,0.0,-37.0,-2.0,-37.0,1.0
IN,India,Delhi,2021-08-23,-25.0,4.0,-33.0,-19.0,-28.0,7.0
IN,India,Delhi,2021-08-24,-24.0,6.0,-31.0,-18.0,-26.0,7.0
IN,India,Delhi,2021-08-25,-23.0,9.0,-31.0,-18.0,-24.0,7.0
IN,India,Delhi,2021-08-26,-22.0,9.0,-31.0,-19.0,-23.0,8.0
IN,India,Delhi,2021-08-27,-22.0,12.0,-31.0,-18.0,-21.0,8.0
IN,India,Delhi,2021-08-28,-24.0,6.0,-35.0,-13.0,-14.0,6.0
IN,India,Delhi,2021-08-29,-22.0,8.0,-35.0,-9.0,-7.0,4.0
IN,India,Delhi,2021-08-30,-20.0,13.0,-23.0,-27.0,-45.0,13.0
IN,India,Delhi,2021-08-31,-31.0,-7.0,-38.0,-20.0,-27.0,10.0
IN,India,Delhi,2021-09-01,-32.0,-5.0,-45.0,-24.0,-33.0,13.0
IN,India,Delhi,2021-09-02,-21.0,9.0,-35.0,-16.0,-23.0,9.0
IN,India,Delhi,2021-09-03,-20.0,14.0,-33.0,-15.0,-20.0,8.0
IN,India,Delhi,2021-09-04,-22.0,9.0,-36.0,-12.0,-10.0,6.0
IN,India,Delhi,2021-09-05,-21.0,9.0,-34.0,-8.0,-7.0,5.0
IN,India,Delhi,2021-09-06,-20.0,12.0,-27.0,-15.0,-22.0,7.0
IN,India,Delhi,2021-09-07,-21.0,8.0,-29.0,-15.0,-22.0,7.0
IN,India,Delhi,2021-09-08,-18.0,18.0,-26.0,-13.0,-21.0,7.0
IN,India,Delhi,2021-09-09,-18.0,15.0,-28.0,-15.0,-21.0,7.0
IN,India,Delhi,2021-09-10,-19.0,14.0,-31.0,-16.0,-22.0,8.0
IN,India,Delhi,2021-09-11,-37.0,-15.0,-54.0,-26.0,-27.0,12.0
IN,India,Delhi,2021-09-12,-23.0,7.0,-40.0,-8.0,-7.0,4.0
IN,India,Delhi,2021-09-13,-20.0,12.0,-29.0,-13.0,-22.0,7.0
IN,India,Delhi,2021-09-14,-17.0,16.0,-24.0,-12.0,-22.0,7.0
IN,India,Delhi,2021-09-15,-18.0,17.0,-26.0,-12.0,-22.0,6.0
IN,India,Delhi,2021-09-16,-22.0,6.0,-34.0,-16.0,-23.0,8.0
IN,India,Delhi,2021-09-17,-16.0,21.0,-26.0,-11.0,-21.0,8.0
IN,India,Delhi,2021-09-18,-18.0,14.0,-30.0,-7.0,-11.0,5.0
IN,India,Delhi,2021-09-19,-18.0,14.0,-29.0,-5.0,-8.0,4.0
IN,India,Delhi,2021-09-20,-18.0,14.0,-24.0,-13.0,-21.0,7.0
IN,India,Delhi,2021-09-21,-20.0,10.0,-26.0,-13.0,-21.0,7.0
IN,India,Delhi,2021-09-22,-20.0,13.0,-27.0,-13.0,-19.0,7.0
IN,India,Delhi,2021-09-23,-19.0,11.0,-27.0,-14.0,-18.0,8.0
IN,India,Delhi,2021-09-24,-19.0,14.0,-29.0,-13.0,-18.0,8.0
IN,India,Delhi,2021-09-25,-20.0,10.0,-31.0,-7.0,-11.0,6.0
IN,India,Delhi,2021-09-26,-19.0,13.0,-29.0,-4.0,-3.0,4.0
IN,India,Delhi,2021-09-27,-19.0,13.0,-24.0,-14.0,-19.0,7.0
IN,India,Delhi,2021-09-28,-17.0,14.0,-22.0,-10.0,-19.0,7.0
IN,India,Delhi,2021-09-29,-19.0,14.0,-25.0,-11.0,-19.0,7.0
IN,India,Delhi,2021-09-30,-17.0,14.0,-25.0,-11.0,-17.0,7.0
IN,India,Delhi,2021-10-01,-15.0,21.0,-26.0,-6.0,-18.0,6.0
IN,India,Delhi,2021-10-02,-29.0,0.0,-29.0,-23.0,-56.0,13.0
IN,India,Delhi,2021-10-03,-18.0,15.0,-30.0,-3.0,-3.0,3.0
IN,India,Delhi,2021-10-04,-16.0,18.0,-22.0,-7.0,-18.0,6.0
IN,India,Delhi,2021-10-05,-15.0,19.0,-22.0,-8.0,-19.0,6.0
IN,India,Delhi,2021-10-06,-12.0,29.0,-20.0,-6.0,-18.0,6.0
IN,India,Delhi,2021-10-07,-19.0,16.0,-27.0,-12.0,-18.0,8.0
IN,India,Delhi,2021-10-08,-17.0,20.0,-25.0,-9.0,-16.0,7.0
IN,India,Delhi,2021-10-09,-17.0,17.0,-28.0,-4.0,-13.0,5.0
IN,India,Delhi,2021-10-10,-16.0,20.0,-28.0,3.0,-2.0,3.0
IN,India,Delhi,2021-10-11,-15.0,20.0,-21.0,-7.0,-18.0,6.0
IN,India,Delhi,2021-10-12,-13.0,25.0,-19.0,-6.0,-20.0,6.0
IN,India,Delhi,2021-10-13,-16.0,23.0,-22.0,-9.0,-21.0,6.0
IN,India,Delhi,2021-10-14,-10.0,23.0,-20.0,-7.0,-24.0,6.0
IN,India,Delhi,2021-10-15,-8.0,29.0,-16.0,-22.0,-55.0,14.0
IN,India,Delhi,2021-10-16,-17.0,16.0,-28.0,-5.0,-12.0,4.0
IN,India,Delhi,2021-10-17,-22.0,8.0,-38.0,-2.0,-4.0,3.0
IN,India,Delhi,2021-10-18,-15.0,18.0,-28.0,-8.0,-22.0,6.0
IN,India,Delhi,2021-10-19,-12.0,25.0,-19.0,-10.0,-31.0,8.0
IN,India,Delhi,2021-10-20,-14.0,24.0,-22.0,-7.0,-23.0,6.0
IN,India,Delhi,2021-10-21,-11.0,25.0,-21.0,-5.0,-17.0,6.0
IN,India,Delhi,2021-10-22,-10.0,31.0,-22.0,-4.0,-15.0,6.0
IN,India,Delhi,2021-10-23,-10.0,29.0,-25.0,0.0,-8.0,4.0
IN,India,Delhi,2021-10-24,-28.0,2.0,-41.0,-12.0,-4.0,7.0
IN,India,Delhi,2021-10-25,-13.0,22.0,-23.0,-7.0,-17.0,7.0
IN,India,Delhi,2021-10-26,-12.0,25.0,-19.0,-4.0,-16.0,6.0
IN,India,Delhi,2021-10-27,-11.0,29.0,-20.0,-4.0,-16.0,6.0
IN,India,Delhi,2021-10-28,-12.0,24.0,-23.0,-7.0,-15.0,7.0
IN,India,Delhi,2021-10-29,-11.0,31.0,-23.0,-4.0,-13.0,6.0
IN,India,Delhi,2021-10-30,-12.0,27.0,-26.0,4.0,-3.0,4.0
IN,India,Delhi,2021-10-31,-9.0,35.0,-26.0,9.0,6.0,2.0
IN,India,Delhi,2021-11-01,-4.0,40.0,-18.0,-1.0,-16.0,5.0
IN,India,Delhi,2021-11-02,4.0,58.0,-14.0,3.0,-17.0,5.0
IN,India,Delhi,2021-11-03,0.0,51.0,-19.0,-2.0,-22.0,7.0
IN,India,Delhi,2021-11-04,-16.0,31.0,-27.0,-34.0,-62.0,20.0
IN,India,Delhi,2021-11-05,-21.0,16.0,-32.0,-29.0,-58.0,17.0
IN,India,Delhi,2021-11-06,-20.0,11.0,-32.0,-11.0,-45.0,6.0
IN,India,Delhi,2021-11-07,-20.0,14.0,-32.0,2.0,-10.0,1.0
IN,India,Delhi,2021-11-08,-15.0,20.0,-22.0,-4.0,-20.0,5.0
IN,India,Delhi,2021-11-09,-13.0,23.0,-20.0,-4.0,-20.0,5.0
IN,India,Delhi,2021-11-10,-14.0,24.0,-15.0,-9.0,-27.0,7.0
IN,India,Delhi,2021-11-11,-13.0,21.0,-19.0,-6.0,-20.0,6.0
IN,India,Delhi,2021-11-12,-14.0,25.0,-24.0,-4.0,-18.0,6.0
IN,India,Delhi,2021-11-13,-15.0,20.0,-27.0,0.0,-16.0,4.0
IN,India,Delhi,2021-11-14,-13.0,23.0,-26.0,10.0,-6.0,2.0
IN,India,Delhi,2021-11-15,-13.0,21.0,-20.0,-4.0,-23.0,5.0
IN,India,Delhi,2021-11-16,-11.0,22.0,-18.0,-4.0,-23.0,6.0
IN,India,Delhi,2021-11-17,-14.0,23.0,-22.0,-4.0,-22.0,6.0
IN,India,Delhi,2021-11-18,-12.0,21.0,-22.0,-4.0,-21.0,6.0
IN,India,Delhi,2021-11-19,-12.0,23.0,-21.0,-12.0,-38.0,9.0
IN,India,Delhi,2021-11-20,-16.0,16.0,-27.0,0.0,-13.0,4.0
IN,India,Delhi,2021-11-21,-14.0,19.0,-24.0,8.0,-8.0,1.0
IN,India,Delhi,2021-11-22,-13.0,19.0,-18.0,-4.0,-22.0,5.0
IN,India,Delhi,2021-11-23,-12.0,20.0,-18.0,-4.0,-21.0,6.0
IN,India,Delhi,2021-11-24,-14.0,21.0,-19.0,-4.0,-21.0,6.0
IN,India,Delhi,2021-11-25,-11.0,21.0,-20.0,-4.0,-20.0,6.0
IN,India,Delhi,2021-11-26,-12.0,23.0,-21.0,-3.0,-19.0,6.0
IN,India,Delhi,2021-11-27,-15.0,16.0,-24.0,1.0,-13.0,4.0
IN,India,Delhi,2021-11-28,-14.0,20.0,-23.0,8.0,-5.0,2.0
IN,India,Delhi,2021-11-29,-12.0,19.0,-17.0,-2.0,-20.0,4.0
IN,India,Delhi,2021-11-30,-11.0,21.0,-16.0,-1.0,-19.0,5.0
IN,India,Delhi,2021-12-01,-13.0,22.0,-20.0,-2.0,-19.0,5.0
IN,India,Delhi,2021-12-02,-17.0,10.0,-30.0,-7.0,-19.0,7.0
IN,India,Delhi,2021-12-03,-12.0,26.0,-23.0,-3.0,-16.0,7.0
IN,India,Delhi,2021-12-04,-14.0,20.0,-24.0,2.0,-8.0,4.0
IN,India,Delhi,2021-12-05,-13.0,23.0,-24.0,7.0,-4.0,3.0
IN,India,Delhi,2021-12-06,-11.0,22.0,-16.0,-3.0,-19.0,5.0
IN,India,Delhi,2021-12-07,-11.0,22.0,-15.0,-2.0,-17.0,5.0
IN,India,Delhi,2021-12-08,-11.0,24.0,-17.0,-2.0,-16.0,5.0
IN,India,Delhi,2021-12-09,-11.0,21.0,-19.0,-4.0,-14.0,6.0
IN,India,Delhi,2021-12-10,-12.0,24.0,-20.0,-3.0,-13.0,6.0
IN,India,Delhi,2021-12-11,-14.0,18.0,-22.0,1.0,-11.0,4.0
IN,India,Delhi,2021-12-12,-14.0,20.0,-22.0,7.0,-1.0,2.0
IN,India,Delhi,2021-12-13,-14.0,19.0,-18.0,-3.0,-16.0,5.0
IN,India,Delhi,2021-12-14,-14.0,19.0,-19.0,-4.0,-14.0,6.0
IN,India,Delhi,2021-12-15,-14.0,22.0,-19.0,-3.0,-13.0,6.0
IN,India,Delhi,2021-12-16,-12.0,18.0,-22.0,-5.0,-13.0,7.0
IN,India,Delhi,2021-12-17,-13.0,21.0,-22.0,-5.0,-11.0,7.0
IN,India,Delhi,2021-12-18,-15.0,15.0,-27.0,1.0,-2.0,5.0
IN,India,Delhi,2021-12-19,-13.0,21.0,-24.0,6.0,2.0,3.0
IN,India,Delhi,2021-12-20,-13.0,20.0,-18.0,-3.0,-12.0,7.0
IN,India,Delhi,2021-12-21,-12.0,21.0,-18.0,-3.0,-12.0,7.0
IN,India,Delhi,2021-12-22,-13.0,23.0,-19.0,-2.0,-11.0,6.0
IN,India,Delhi,2021-12-23,-11.0,22.0,-20.0,-2.0,-11.0,7.0
IN,India,Delhi,2021-12-24,-8.0,27.0,-19.0,-1.0,-12.0,7.0
IN,India,Delhi,2021-12-25,-8.0,17.0,-22.0,-1.0,-20.0,7.0
IN,India,Delhi,2021-12-26,-22.0,6.0,-32.0,0.0,4.0,4.0
IN,India,Delhi,2021-12-27,-14.0,19.0,-17.0,-5.0,-14.0,7.0
IN,India,Delhi,2021-12-28,-21.0,7.0,-29.0,-8.0,-14.0,8.0
IN,India,Delhi,2021-12-29,-18.0,19.0,-19.0,-2.0,-15.0,8.0
IN,India,Delhi,2021-12-30,-19.0,16.0,-22.0,-7.0,-17.0,9.0
IN,India,Delhi,2021-12-31,-11.0,31.0,-20.0,-6.0,-17.0,8.0
IN,India,Delhi,2022-01-01,-23.0,6.0,-25.0,-13.0,-22.0,9.0
IN,India,Delhi,2022-01-02,-28.0,8.0,-29.0,-5.0,-2.0,6.0
IN,India,Delhi,2022-01-03,-23.0,12.0,-21.0,-7.0,-17.0,9.0
IN,India,Delhi,2022-01-04,-24.0,12.0,-23.0,-12.0,-18.0,10.0
IN,India,Delhi,2022-01-05,-41.0,-14.0,-50.0,-27.0,-23.0,14.0
IN,India,Delhi,2022-01-06,-26.0,12.0,-32.0,-18.0,-20.0,12.0
IN,India,Delhi,2022-01-07,-24.0,22.0,-30.0,-15.0,-20.0,11.0
IN,India,Delhi,2022-01-08,-76.0,-56.0,-73.0,-61.0,-63.0,26.0
IN,India,Delhi,2022-01-09,-72.0,-48.0,-69.0,-55.0,-46.0,18.0
IN,India,Delhi,2022-01-10,-25.0,15.0,-30.0,-19.0,-20.0,11.0
IN,India,Delhi,2022-01-11,-28.0,11.0,-29.0,-21.0,-24.0,12.0
IN,India,Delhi,2022-01-12,-31.0,11.0,-32.0,-23.0,-28.0,13.0
IN,India,Delhi,2022-01-13,-30.0,10.0,-34.0,-26.0,-29.0,14.0
IN,India,Delhi,2022-01-14,-33.0,7.0,-37.0,-27.0,-30.0,14.0
IN,India,Delhi,2022-01-15,-68.0,-43.0,-60.0,-52.0,-50.0,21.0
IN,India,Delhi,2022-01-16,-67.0,-42.0,-56.0,-49.0,-40.0,15.0
IN,India,Delhi,2022-01-17,-28.0,9.0,-30.0,-22.0,-24.0,11.0
IN,India,Delhi,2022-01-18,-30.0,5.0,-31.0,-24.0,-26.0,13.0
IN,India,Delhi,2022-01-19,-29.0,9.0,-30.0,-24.0,-25.0,12.0
IN,India,Delhi,2022-01-20,-28.0,7.0,-31.0,-25.0,-25.0,13.0
IN,India,Delhi,2022-01-21,-26.0,14.0,-29.0,-20.0,-23.0,12.0
IN,India,Delhi,2022-01-22,-66.0,-44.0,-62.0,-51.0,-50.0,20.0
IN,India,Delhi,2022-01-23,-63.0,-37.0,-55.0,-45.0,-36.0,13.0
IN,India,Delhi,2022-01-24,-24.0,12.0,-28.0,-19.0,-20.0,10.0
IN,India,Delhi,2022-01-25,-25.0,10.0,-30.0,-21.0,-23.0,11.0
IN,India,Delhi,2022-01-26,-41.0,-11.0,-29.0,-45.0,-72.0,22.0
IN,India,Delhi,2022-01-27,-25.0,11.0,-26.0,-20.0,-20.0,10.0
IN,India,Delhi,2022-01-28,-24.0,14.0,-25.0,-19.0,-18.0,10.0
IN,India,Delhi,2022-01-29,-28.0,5.0,-30.0,-17.0,-6.0,8.0
IN,India,Delhi,2022-01-30,-26.0,8.0,-27.0,-14.0,5.0,5.0
IN,India,Delhi,2022-01-31,-21.0,12.0,-21.0,-16.0,-17.0,8.0
IN,India,Delhi,2022-02-01,-20.0,14.0,-19.0,-15.0,-17.0,9.0
IN,India,Delhi,2022-02-02,-20.0,18.0,-20.0,-13.0,-16.0,8.0
IN,India,Delhi,2022-02-03,-28.0,0.0,-39.0,-20.0,-18.0,11.0
IN,India,Delhi,2022-02-04,-19.0,19.0,-25.0,-13.0,-16.0,9.0
IN,India,Delhi,2022-02-05,-22.0,9.0,-26.0,-7.0,-7.0,5.0
IN,India,Delhi,2022-02-06,-20.0,13.0,-22.0,-3.0,1.0,3.0
IN,India,Delhi,2022-02-07,-17.0,16.0,-15.0,-8.0,-16.0,6.0
IN,India,Delhi,2022-02-08,-16.0,16.0,-16.0,-7.0,-15.0,7.0
IN,India,Delhi,2022-02-09,-17.0,16.0,-21.0,-7.0,-15.0,7.0
IN,India,Delhi,2022-02-10,-12.0,19.0,-14.0,-7.0,-18.0,7.0
IN,India,Delhi,2022-02-11,-16.0,20.0,-17.0,-5.0,-13.0,6.0
IN,India,Delhi,2022-02-12,-17.0,15.0,-20.0,-2.0,-9.0,5.0
IN,India,Delhi,2022-02-13,-14.0,19.0,-17.0,5.0,4.0,3.0
IN,India,Delhi,2022-02-14,-6.0,23.0,-8.0,1.0,-14.0,5.0
IN,India,Delhi,2022-02-15,-12.0,21.0,-10.0,0.0,-13.0,5.0
IN,India,Delhi,2022-02-16,-13.0,20.0,-11.0,-1.0,-18.0,6.0
IN,India,Delhi,2022-02-17,-13.0,18.0,-12.0,1.0,-13.0,5.0
IN,India,Delhi,2022-02-18,-12.0,21.0,-10.0,2.0,-13.0,4.0
IN,India,Delhi,2022-02-19,-16.0,13.0,-18.0,3.0,-3.0,3.0
IN,India,Delhi,2022-02-20,-15.0,16.0,-15.0,9.0,3.0,2.0
IN,India,Delhi,2022-02-21,-13.0,17.0,-9.0,3.0,-13.0,4.0
IN,India,Delhi,2022-02-22,-13.0,18.0,-8.0,2.0,-12.0,5.0
IN,India,Delhi,2022-02-23,-16.0,17.0,-13.0,2.0,-10.0,5.0
IN,India,Delhi,2022-02-24,-16.0,15.0,-14.0,1.0,-9.0,6.0
IN,India,Delhi,2022-02-25,-17.0,15.0,-17.0,1.0,-8.0,6.0
IN,India,Delhi,2022-02-26,-18.0,12.0,-19.0,4.0,-1.0,4.0
IN,India,Delhi,2022-02-27,-16.0,16.0,-16.0,9.0,9.0,3.0
IN,India,Delhi,2022-02-28,-12.0,21.0,-8.0,4.0,-11.0,4.0
IN,India,Delhi,2022-03-01,-16.0,17.0,-8.0,-11.0,-32.0,11.0
IN,India,Delhi,2022-03-02,-18.0,16.0,-12.0,3.0,-10.0,5.0
IN,India,Delhi,2022-03-03,-16.0,15.0,-13.0,0.0,-9.0,5.0
IN,India,Delhi,2022-03-04,-16.0,17.0,-13.0,1.0,-9.0,5.0
IN,India,Delhi,2022-03-05,-18.0,12.0,-18.0,5.0,3.0,3.0
IN,India,Delhi,2022-03-06,-18.0,15.0,-18.0,8.0,6.0,3.0
IN,India,Delhi,2022-03-07,-17.0,15.0,-11.0,2.0,-9.0,5.0
IN,India,Delhi,2022-03-08,-16.0,14.0,-10.0,3.0,-8.0,5.0
IN,India,Delhi,2022-03-09,-19.0,14.0,-15.0,2.0,-8.0,5.0
IN,India,Delhi,2022-03-10,-20.0,9.0,-18.0,-1.0,-7.0,6.0
IN,India,Delhi,2022-03-11,-20.0,13.0,-18.0,1.0,-5.0,6.0
IN,India,Delhi,2022-03-12,-21.0,9.0,-21.0,3.0,-4.0,5.0
IN,India,Delhi,2022-03-13,-21.0,11.0,-22.0,9.0,8.0,3.0
IN,India,Delhi,2022-03-14,-20.0,9.0,-16.0,1.0,-7.0,6.0
IN,India,Delhi,2022-03-15,-19.0,10.0,-15.0,3.0,-8.0,5.0
IN,India,Delhi,2022-03-16,-18.0,14.0,-17.0,6.0,-8.0,4.0
IN,India,Delhi,2022-03-17,-19.0,16.0,-21.0,-3.0,-19.0,8.0
IN,India,Delhi,2022-03-18,-57.0,-44.0,-49.0,-56.0,-84.0,27.0
IN,India,Delhi,2022-03-19,-30.0,-4.0,-32.0,-14.0,-20.0,8.0
IN,India,Delhi,2022-03-20,-27.0,0.0,-29.0,2.0,2.0,3.0
IN,India,Delhi,2022-03-21,-23.0,4.0,-18.0,2.0,-10.0,5.0
IN,India,Delhi,2022-03-22,-22.0,7.0,-16.0,2.0,-9.0,5.0
IN,India,Delhi,2022-03-23,-22.0,8.0,-17.0,1.0,-8.0,5.0
IN,India,Delhi,2022-03-24,-21.0,7.0,-18.0,-1.0,-7.0,6.0
IN,India,Delhi,2022-03-25,-20.0,10.0,-18.0,1.0,-6.0,6.0
IN,India,Delhi,2022-03-26,-22.0,6.0,-22.0,4.0,1.0,4.0
IN,India,Delhi,2022-03-27,-21.0,7.0,-24.0,9.0,10.0,2.0
IN,India,Delhi,2022-03-28,-21.0,7.0,-15.0,1.0,-7.0,5.0
IN,India,Delhi,2022-03-29,-20.0,8.0,-15.0,2.0,-7.0,6.0
IN,India,Delhi,2022-03-30,-20.0,11.0,-17.0,2.0,-6.0,5.0
IN,India,Delhi,2022-03-31,-18.0,12.0,-18.0,0.0,-5.0,6.0
IN,India,Delhi,2022-04-01,-15.0,21.0,-16.0,2.0,-5.0,6.0
IN,India,Delhi,2022-04-02,-27.0,8.0,-25.0,0.0,3.0,6.0
IN,India,Delhi,2022-04-03,-24.0,11.0,-27.0,4.0,6.0,5.0
IN,India,Delhi,2022-04-04,-24.0,9.0,-17.0,1.0,-6.0,6.0
IN,India,Delhi,2022-04-05,-21.0,11.0,-13.0,3.0,-6.0,6.0
IN,India,Delhi,2022-04-06,-25.0,10.0,-19.0,1.0,-5.0,6.0
IN,India,Delhi,2022-04-07,-23.0,11.0,-20.0,1.0,-5.0,7.0
IN,India,Delhi,2022-04-08,-23.0,15.0,-20.0,2.0,-3.0,7.0
IN,India,Delhi,2022-04-09,-25.0,9.0,-27.0,0.0,-5.0,7.0
IN,India,Delhi,2022-04-10,-22.0,11.0,-28.0,9.0,3.0,4.0
IN,India,Delhi,2022-04-11,-19.0,14.0,-16.0,6.0,-6.0,5.0
IN,India,Delhi,2022-04-12,-19.0,14.0,-15.0,6.0,-6.0,5.0
IN,India,Delhi,2022-04-13,-19.0,14.0,-18.0,8.0,-6.0,5.0
IN,India,Delhi,2022-04-14,-15.0,11.0,-21.0,-5.0,-28.0,9.0
IN,India,Delhi,2022-04-15,-16.0,15.0,-19.0,-7.0,-29.0,9.0
IN,India,Delhi,2022-04-16,-24.0,6.0,-24.0,3.0,-3.0,4.0
IN,India,Delhi,2022-04-17,-23.0,8.0,-28.0,9.0,3.0,3.0
IN,India,Delhi,2022-04-18,-21.0,9.0,-17.0,7.0,-7.0,5.0
IN,India,Delhi,2022-04-19,-21.0,8.0,-17.0,4.0,-8.0,6.0
